customer_id,first_name,last_name,email,created_at
1,John,Doe,john.doe@example.com,2023-01-15 10:30:00
2,Jane,Smith,jane.smith@example.com,2023-01-20 14:45:00
3,Bob,Johnson,bob.johnson@example.com,2023-02-01 09:15:00
4,Alice,Williams,alice.williams@example.com,2023-02-10 16:20:00
5,Charlie,Brown,charlie.brown@example.com,2023-02-15 11:30:00
6,Diana,Davis,diana.davis@example.com,2023-03-01 13:45:00
7,Edward,Miller,edward.miller@example.com,2023-03-05 08:30:00
8,Fiona,Wilson,fiona.wilson@example.com,2023-03-10 15:15:00
9,George,Moore,george.moore@example.com,2023-03-15 12:00:00
10,Helen,Taylor,helen.taylor@example.com,2023-03-20 17:30:00
